Time,Reporter,Type,Content,Screenshot,RTF Note
19.01.2016 21:30:54,Michal Graczyk,(Rapid Reporter version),"1.12.12.28",,
19.01.2016 21:30:54,Michal Graczyk,Session Reporter,"Michal Graczyk",,
19.01.2016 21:30:54,Michal Graczyk,Session Charter,"Testowanie funkcjonalnosci System Administration",,
19.01.2016 21:31:24,Michal Graczyk,Setup,"test uruchamiany na przegladarce Mozilla Firefox",,
19.01.2016 21:31:56,Michal Graczyk,Note,"rozpoczynam test i zapoznaje sie z graficznym interfejsem uzytkownika",,
19.01.2016 21:33:43,Michal Graczyk,Question,"czy graficzny interfejs jest dostosowany do zmian rozmiarow okna i czcionki w systemie operacyjnym oraz obslugi mniej popularnych przegladarek internetowych",,
19.01.2016 21:34:42,Michal Graczyk,Check,"wciskam kombinacje Ctrl +/- zmieniajac rozmiar okna",,
19.01.2016 21:36:18,Michal Graczyk,autogenerated,"screenshot saved",1_20160119_213618.jpg,
19.01.2016 21:37:36,Michal Graczyk,Note,"zalaczam zdjecia przy powiekszonym oknie",1_20160119_213618.jpg,
19.01.2016 21:38:20,Michal Graczyk,autogenerated,"screenshot saved",2_20160119_213820.jpg,
19.01.2016 21:38:41,Michal Graczyk,Note,"zalaczam zdjecie przy zmniejszonym oknie",2_20160119_213820.jpg,
19.01.2016 21:39:58,Michal Graczyk,Note,"rozpoczynam testowanie funkcjonalnosci pierwszego panelu modulu ''User Management''",,
19.01.2016 21:40:08,Michal Graczyk,Test,"wyszukiwanie",,
19.01.2016 21:40:48,Michal Graczyk,Test,"proba wyszukiwania przy pustych polach formularza",,
19.01.2016 21:41:17,Michal Graczyk,Note,"nie pojawil sie zaden blad",,
19.01.2016 21:42:34,Michal Graczyk,Test,"wpisuje w pola formularza znaki niediaktryczne poprzedzone bialymi znakami",,
19.01.2016 21:43:30,Michal Graczyk,Bug,"nie znaleziono rekordow a pole formularza nie zostalo wyczyszczone",,
19.01.2016 21:44:36,Michal Graczyk,Test,"rozpoczynam testowanie funkcjonalnosci listy uzytkownikow",,
19.01.2016 21:44:51,Michal Graczyk,Test,"test sortowania",,
19.01.2016 21:46:19,Michal Graczyk,Note,"sortowanie dziala poprawnie",,
19.01.2016 21:47:05,Michal Graczyk,Test,"testuje dodawanie uzytkownikow",,
19.01.2016 21:47:40,Michal Graczyk,Test,"sprawdzam walidacje obowiazkowych pol",,
19.01.2016 21:48:08,Michal Graczyk,Note,"jedno wymagane pole pozostawiam puste i wciskam ''save''",,
19.01.2016 21:49:45,Michal Graczyk,Note,"wyswietlono prawidlowe i czytelne podpowiedzi dotyczace braku wypelnienia wymaganych pol oraz minimalnej ilosci znakow w danym polu",,
19.01.2016 21:51:02,Michal Graczyk,Test,"testuje usuwanie uzytkownikow",,
19.01.2016 21:52:29,Michal Graczyk,Test,"zaznaczam kontrolke do wyboru wszytskich uzytkownikow probujac usunac konto administratora",,
19.01.2016 21:53:32,Michal Graczyk,Note,"wszystkie konta zostaly usuniete z wyjatkiem administratora",,
19.01.2016 21:54:00,Michal Graczyk,Note,"zakonczono testy panelu ''User Management''",,
19.01.2016 21:55:24,Michal Graczyk,Test,"testuje panel ''Job''",,
19.01.2016 21:55:45,Michal Graczyk,Test,"funkcje dodawania i usuwania",,
19.01.2016 22:03:48,Michal Graczyk,Note,"dodawanie; usuwanie i sortowanie dziala poprawnie",,
19.01.2016 22:04:30,Michal Graczyk,Note,"panel ''Organization''",,
19.01.2016 22:05:38,Michal Graczyk,Note,"przy pierwszym kontakcie panel organizacji wydaje sie malo intuicyjny i czytelny",,
19.01.2016 22:06:29,Michal Graczyk,Next Time,"dodac na samej gorze strony krotki poradnik informacyjny",,
19.01.2016 22:07:22,Michal Graczyk,Test,"test modulu ''Locations''",,
19.01.2016 22:07:58,Michal Graczyk,Test,"tak jak poprzednio testuje dodawanie; usuwanie; wyszukiwanie i sortowanie",,
19.01.2016 22:12:05,Michal Graczyk,Note,"wszystko dziala poprawnie",,
19.01.2016 22:12:29,Michal Graczyk,Note,"przechodze do panelu ''Qualifications''",,
19.01.2016 22:13:08,Michal Graczyk,Note,"lista rekordow jest pusta",,
19.01.2016 22:13:48,Michal Graczyk,Test,"dodaje ''Skills'' przy pustych rekordach bazy danych",,
19.01.2016 22:14:17,Michal Graczyk,Note,"wynik testu: pozytywny",,
19.01.2016 22:15:18,Michal Graczyk,Test,"ponawiam test dla kolejnych paneli",,
19.01.2016 22:15:37,Michal Graczyk,Note,"zalaczam liste kwalifikacji",,
19.01.2016 22:16:32,Michal Graczyk,autogenerated,"extended note saved",,1_20160119_221631.rtf
19.01.2016 22:16:58,Michal Graczyk,Note,"przechodze do zakladki ''Nationalities''",,1_20160119_221631.rtf
19.01.2016 22:17:20,Michal Graczyk,Test,"testuje usuwanie i dodawanie",,
19.01.2016 22:18:28,Michal Graczyk,Note,"dodalem fikcyjna narodowosc",,
19.01.2016 22:18:59,Michal Graczyk,Question,"czy fikcyjna narodowosc powinna sie dodac?",,
19.01.2016 22:19:59,Michal Graczyk,Note,"powinna zostac dodana walidacja na podstawie rejonow geograficznych badz regionalnych",,
19.01.2016 22:21:25,Michal Graczyk,Bug,"po dluzszym czasie spedzonym w aplikacji meczacy staje sie brak wejscia do domyslnej zakladki(pierwszej) po kliknieciu glownego panelu",,
19.01.2016 22:22:03,Michal Graczyk,Next Time,"ustawic wartosci domyslne dla pierwszej wyswietlanej zakladki kazdego panelu",,
19.01.2016 22:22:30,Michal Graczyk,Test,"test wysylania e-maili",,
19.01.2016 22:22:49,Michal Graczyk,Note,"modul nie aktywny w wersji testowej aplikacji",,
19.01.2016 22:23:06,Michal Graczyk,Note,"wszystkie panele zostaly przetestowane",,
19.01.2016 22:24:33,Michal Graczyk,Note,"koncowe wnioski: funkcjonalnosc jest poprawna jednak interfejs uzytkownika powinien byc bardziej intuicyjny mimo dobrego pierwszego wrazenia o czym napisalem na poczatku testu",,
19.01.2016 22:24:41,Michal Graczyk,Note,"KONIEC",,
